read_id	state	strand	insert_start	insert_end
SYNTH:1:1:196:196	tf_bound	-	4	554
SYNTH:1:1:197:197	tf_bound	+	42	592
SYNTH:1:1:198:198	accessible	-	21	571
SYNTH:1:1:199:199	nucleosome	+	65	615
SYNTH:1:1:200:200	nucleosome	-	66	616
SYNTH:1:1:201:201	accessible	-	56	606
SYNTH:1:1:202:202	tf_bound	-	15	565
SYNTH:1:1:203:203	tf_bound	-	65	615
SYNTH:1:1:204:204	nucleosome	+	28	578
SYNTH:1:1:205:205	accessible	-	17	567
SYNTH:1:1:206:206	accessible	+	6	556
SYNTH:1:1:207:207	nucleosome	-	35	585
SYNTH:1:1:208:208	tf_bound	-	56	606
SYNTH:1:1:209:209	nucleosome	-	8	558
SYNTH:1:1:210:210	tf_bound	+	62	612
SYNTH:1:1:211:211	tf_bound	-	1	551
SYNTH:1:1:212:212	accessible	-	24	574
SYNTH:1:1:213:213	accessible	+	59	609
SYNTH:1:1:214:214	nucleosome	-	7	557
SYNTH:1:1:215:215	accessible	-	22	572
SYNTH:1:1:216:216	nucleosome	-	65	615
SYNTH:1:1:217:217	accessible	+	46	596
SYNTH:1:1:218:218	nucleosome	+	6	556
SYNTH:1:1:219:219	tf_bound	+	29	579
SYNTH:1:1:220:220	tf_bound	-	27	577
SYNTH:1:1:221:221	nucleosome	-	13	563
SYNTH:1:1:222:222	accessible	+	15	565
SYNTH:1:1:223:223	accessible	-	33	583
SYNTH:1:1:224:224	accessible	-	29	579
SYNTH:1:1:225:225	accessible	+	59	609
SYNTH:1:1:226:226	tf_bound	+	10	560
SYNTH:1:1:227:227	accessible	-	58	608
SYNTH:1:1:228:228	nucleosome	+	35	585
SYNTH:1:1:229:229	accessible	+	35	585
SYNTH:1:1:230:230	accessible	-	60	610
SYNTH:1:1:231:231	tf_bound	-	26	576
SYNTH:1:1:232:232	accessible	+	13	563
SYNTH:1:1:233:233	accessible	-	24	574
SYNTH:1:1:234:234	accessible	+	21	571
SYNTH:1:1:235:235	accessible	+	5	555
SYNTH:1:1:236:236	nucleosome	-	3	553
SYNTH:1:1:237:237	tf_bound	+	70	620
SYNTH:1:1:238:238	accessible	-	5	555
SYNTH:1:1:239:239	tf_bound	+	61	611
SYNTH:1:1:240:240	nucleosome	-	12	562
SYNTH:1:1:241:241	nucleosome	+	60	610
SYNTH:1:1:242:242	accessible	-	58	608
SYNTH:1:1:243:243	tf_bound	-	21	571
SYNTH:1:1:244:244	nucleosome	-	51	601
SYNTH:1:1:245:245	nucleosome	-	20	570
SYNTH:1:1:246:246	tf_bound	-	45	595
SYNTH:1:1:247:247	accessible	+	0	550
SYNTH:1:1:248:248	accessible	+	47	597
SYNTH:1:1:249:249	accessible	+	52	602
SYNTH:1:1:250:250	nucleosome	-	59	609
SYNTH:1:1:251:251	tf_bound	-	3	553
SYNTH:1:1:252:252	nucleosome	+	22	572
SYNTH:1:1:253:253	tf_bound	+	30	580
SYNTH:1:1:254:254	nucleosome	-	53	603
SYNTH:1:1:255:255	tf_bound	-	24	574
SYNTH:1:1:256:256	nucleosome	-	39	589
SYNTH:1:1:257:257	accessible	+	4	554
SYNTH:1:1:258:258	nucleosome	-	26	576
SYNTH:1:1:259:259	accessible	-	3	553
SYNTH:1:1:260:260	accessible	-	33	583
SYNTH:1:1:261:261	nucleosome	-	12	562
SYNTH:1:1:262:262	nucleosome	+	22	572
SYNTH:1:1:263:263	nucleosome	-	53	603
SYNTH:1:1:264:264	nucleosome	-	13	563
SYNTH:1:1:265:265	tf_bound	-	58	608
SYNTH:1:1:266:266	accessible	-	43	593
SYNTH:1:1:267:267	nucleosome	+	45	595
SYNTH:1:1:268:268	accessible	-	4	554
SYNTH:1:1:269:269	accessible	-	33	583
SYNTH:1:1:270:270	tf_bound	+	60	610
SYNTH:1:1:271:271	accessible	+	30	580
SYNTH:1:1:272:272	accessible	-	58	608
SYNTH:1:1:273:273	tf_bound	+	28	578
SYNTH:1:1:274:274	tf_bound	-	30	580
SYNTH:1:1:275:275	accessible	+	5	555
SYNTH:1:1:276:276	nucleosome	-	4	554
SYNTH:1:1:277:277	accessible	+	30	580
SYNTH:1:1:278:278	accessible	+	68	618
SYNTH:1:1:279:279	nucleosome	-	16	566
SYNTH:1:1:280:280	nucleosome	-	50	600
SYNTH:1:1:281:281	tf_bound	+	20	570
SYNTH:1:1:282:282	accessible	-	14	564
SYNTH:1:1:283:283	nucleosome	+	3	553
SYNTH:1:1:284:284	nucleosome	-	35	585
SYNTH:1:1:285:285	accessible	-	36	586
SYNTH:1:1:286:286	nucleosome	+	1	551
SYNTH:1:1:287:287	accessible	+	59	609
SYNTH:1:1:288:288	nucleosome	+	52	602
SYNTH:1:1:289:289	nucleosome	+	24	574
SYNTH:1:1:290:290	accessible	-	53	603
SYNTH:1:1:291:291	nucleosome	-	65	615
SYNTH:1:1:292:292	accessible	+	58	608
SYNTH:1:1:293:293	accessible	-	46	596
SYNTH:1:1:294:294	accessible	+	19	569
SYNTH:1:1:295:295	nucleosome	+	44	594
SYNTH:1:1:296:296	tf_bound	-	12	562
SYNTH:1:1:297:297	tf_bound	-	38	588
SYNTH:1:1:298:298	accessible	-	4	554
SYNTH:1:1:299:299	nucleosome	-	43	593
SYNTH:1:1:300:300	accessible	-	7	557
SYNTH:1:1:301:301	accessible	+	4	554
SYNTH:1:1:302:302	nucleosome	+	16	566
SYNTH:1:1:303:303	tf_bound	+	36	586
SYNTH:1:1:304:304	nucleosome	-	45	595
SYNTH:1:1:305:305	tf_bound	-	24	574
SYNTH:1:1:306:306	nucleosome	+	11	561
SYNTH:1:1:307:307	accessible	+	49	599
SYNTH:1:1:308:308	accessible	-	13	563
SYNTH:1:1:309:309	accessible	-	6	556
SYNTH:1:1:310:310	tf_bound	-	46	596
SYNTH:1:1:311:311	tf_bound	-	41	591
SYNTH:1:1:312:312	nucleosome	+	3	553
SYNTH:1:1:313:313	accessible	+	23	573
SYNTH:1:1:314:314	nucleosome	+	2	552
SYNTH:1:1:315:315	nucleosome	+	68	618
SYNTH:1:1:316:316	accessible	+	66	616
SYNTH:1:1:317:317	accessible	+	42	592
SYNTH:1:1:318:318	accessible	+	10	560
SYNTH:1:1:319:319	tf_bound	-	6	556
SYNTH:1:1:320:320	unclassified	+	35	585
SYNTH:1:1:321:321	accessible	-	44	594
SYNTH:1:1:322:322	nucleosome	-	38	588
SYNTH:1:1:323:323	tf_bound	-	67	617
SYNTH:1:1:324:324	accessible	+	32	582
SYNTH:1:1:325:325	accessible	+	33	583
SYNTH:1:1:326:326	accessible	+	60	610
SYNTH:1:1:327:327	accessible	-	8	558
SYNTH:1:1:328:328	accessible	-	64	614
SYNTH:1:1:329:329	tf_bound	-	38	588
SYNTH:1:1:330:330	unclassified	-	14	564
SYNTH:1:1:331:331	tf_bound	-	6	556
SYNTH:1:1:332:332	unclassified	+	63	613
SYNTH:1:1:333:333	accessible	-	56	606
SYNTH:1:1:334:334	accessible	+	12	562
SYNTH:1:1:335:335	accessible	+	8	558
SYNTH:1:1:336:336	nucleosome	+	63	613
SYNTH:1:1:337:337	accessible	+	11	561
SYNTH:1:1:338:338	tf_bound	+	43	593
SYNTH:1:1:339:339	nucleosome	-	9	559
SYNTH:1:1:340:340	accessible	+	57	607
SYNTH:1:1:341:341	accessible	+	68	618
SYNTH:1:1:342:342	nucleosome	+	6	556
SYNTH:1:1:343:343	tf_bound	+	47	597
SYNTH:1:1:344:344	accessible	-	54	604
SYNTH:1:1:345:345	accessible	+	46	596
SYNTH:1:1:346:346	nucleosome	+	27	577
SYNTH:1:1:347:347	nucleosome	-	63	613
SYNTH:1:1:348:348	nucleosome	+	11	561
SYNTH:1:1:349:349	tf_bound	+	17	567
SYNTH:1:1:350:350	accessible	-	63	613
SYNTH:1:1:351:351	accessible	-	68	618
SYNTH:1:1:352:352	tf_bound	+	17	567
SYNTH:1:1:353:353	nucleosome	-	33	583
SYNTH:1:1:354:354	nucleosome	+	66	616
SYNTH:1:1:355:355	accessible	+	60	610
SYNTH:1:1:356:356	nucleosome	-	66	616
SYNTH:1:1:357:357	tf_bound	+	7	557
SYNTH:1:1:358:358	unclassified	-	61	611
SYNTH:1:1:359:359	tf_bound	-	60	610
SYNTH:1:1:360:360	nucleosome	-	16	566
SYNTH:1:1:361:361	accessible	+	14	564
SYNTH:1:1:362:362	nucleosome	-	3	553
SYNTH:1:1:363:363	accessible	+	17	567
SYNTH:1:1:364:364	tf_bound	+	59	609
SYNTH:1:1:365:365	accessible	-	61	611
SYNTH:1:1:366:366	nucleosome	-	56	606
SYNTH:1:1:367:367	accessible	-	19	569
SYNTH:1:1:368:368	tf_bound	+	18	568
SYNTH:1:1:369:369	tf_bound	+	14	564
SYNTH:1:1:370:370	nucleosome	+	32	582
SYNTH:1:1:371:371	tf_bound	-	1	551
SYNTH:1:1:372:372	nucleosome	+	42	592
SYNTH:1:1:373:373	tf_bound	-	21	571
SYNTH:1:1:374:374	unclassified	+	54	604
SYNTH:1:1:375:375	nucleosome	+	58	608
SYNTH:1:1:376:376	nucleosome	-	15	565
SYNTH:1:1:377:377	nucleosome	+	26	576
SYNTH:1:1:378:378	nucleosome	-	55	605
SYNTH:1:1:379:379	accessible	+	38	588
SYNTH:1:1:380:380	accessible	-	32	582
SYNTH:1:1:381:381	tf_bound	+	15	565
SYNTH:1:1:382:382	accessible	-	4	554
SYNTH:1:1:383:383	accessible	-	41	591
SYNTH:1:1:384:384	accessible	-	52	602
SYNTH:1:1:385:385	nucleosome	-	52	602
SYNTH:1:1:386:386	nucleosome	-	2	552
SYNTH:1:1:387:387	accessible	+	54	604
SYNTH:1:1:388:388	tf_bound	+	39	589
SYNTH:1:1:389:389	accessible	-	42	592
SYNTH:1:1:390:390	nucleosome	+	2	552
SYNTH:1:1:391:391	tf_bound	+	60	610
SYNTH:1:1:392:392	nucleosome	+	63	613
SYNTH:1:1:393:393	tf_bound	-	50	600
SYNTH:1:1:394:394	unclassified	-	60	610
SYNTH:1:1:395:395	tf_bound	+	31	581
SYNTH:1:1:396:396	unclassified	-	69	619
SYNTH:1:1:397:397	tf_bound	+	39	589
SYNTH:1:1:398:398	accessible	+	47	597
SYNTH:1:1:399:399	nucleosome	-	27	577
SYNTH:1:1:400:400	accessible	+	8	558
SYNTH:1:1:401:401	tf_bound	+	56	606
SYNTH:1:1:402:402	tf_bound	+	24	574
SYNTH:1:1:403:403	accessible	-	45	595
SYNTH:1:1:404:404	accessible	+	23	573
SYNTH:1:1:405:405	unclassified	-	64	614
SYNTH:1:1:406:406	nucleosome	+	26	576
SYNTH:1:1:407:407	accessible	-	42	592
SYNTH:1:1:408:408	nucleosome	-	35	585
SYNTH:1:1:409:409	accessible	-	57	607
SYNTH:1:1:410:410	accessible	-	18	568
SYNTH:1:1:411:411	nucleosome	-	10	560
SYNTH:1:1:412:412	nucleosome	-	46	596
SYNTH:1:1:413:413	nucleosome	+	37	587
SYNTH:1:1:414:414	accessible	+	36	586
SYNTH:1:1:415:415	nucleosome	-	33	583
SYNTH:1:1:416:416	tf_bound	+	2	552
SYNTH:1:1:417:417	accessible	+	50	600
SYNTH:1:1:418:418	nucleosome	+	18	568
SYNTH:1:1:419:419	nucleosome	-	23	573
SYNTH:1:1:420:420	accessible	-	6	556
SYNTH:1:1:421:421	accessible	-	5	555
SYNTH:1:1:422:422	unclassified	+	63	613
SYNTH:1:1:423:423	nucleosome	+	47	597
SYNTH:1:1:424:424	accessible	+	35	585
SYNTH:1:1:425:425	nucleosome	-	47	597
SYNTH:1:1:426:426	accessible	-	50	600
SYNTH:1:1:427:427	nucleosome	-	45	595
SYNTH:1:1:428:428	nucleosome	+	16	566
SYNTH:1:1:429:429	accessible	-	60	610
SYNTH:1:1:430:430	accessible	-	11	561
SYNTH:1:1:431:431	tf_bound	-	31	581
SYNTH:1:1:432:432	accessible	+	57	607
SYNTH:1:1:433:433	nucleosome	+	25	575
SYNTH:1:1:434:434	tf_bound	-	10	560
SYNTH:1:1:435:435	accessible	-	37	587
SYNTH:1:1:436:436	tf_bound	+	67	617
SYNTH:1:1:437:437	accessible	+	21	571
SYNTH:1:1:438:438	accessible	-	16	566
SYNTH:1:1:439:439	accessible	+	47	597
SYNTH:1:1:440:440	accessible	+	50	600
SYNTH:1:1:441:441	accessible	+	27	577
SYNTH:1:1:442:442	nucleosome	+	25	575
SYNTH:1:1:443:443	accessible	+	45	595
SYNTH:1:1:444:444	accessible	-	50	600
SYNTH:1:1:445:445	accessible	+	14	564
SYNTH:1:1:446:446	nucleosome	+	59	609
SYNTH:1:1:447:447	accessible	-	66	616
SYNTH:1:1:448:448	tf_bound	-	59	609
SYNTH:1:1:449:449	accessible	+	54	604
SYNTH:1:1:450:450	unclassified	-	65	615
SYNTH:1:1:451:451	accessible	+	64	614
SYNTH:1:1:452:452	accessible	-	67	617
SYNTH:1:1:453:453	nucleosome	+	30	580
SYNTH:1:1:454:454	nucleosome	+	67	617
SYNTH:1:1:455:455	accessible	+	46	596
SYNTH:1:1:456:456	accessible	-	8	558
SYNTH:1:1:457:457	tf_bound	-	67	617
SYNTH:1:1:458:458	tf_bound	+	40	590
SYNTH:1:1:459:459	unclassified	-	66	616
SYNTH:1:1:460:460	nucleosome	+	8	558
SYNTH:1:1:461:461	tf_bound	+	24	574
SYNTH:1:1:462:462	accessible	-	2	552
SYNTH:1:1:463:463	nucleosome	-	69	619
SYNTH:1:1:464:464	nucleosome	-	59	609
SYNTH:1:1:465:465	accessible	+	69	619
SYNTH:1:1:466:466	accessible	+	24	574
SYNTH:1:1:467:467	accessible	-	33	583
SYNTH:1:1:468:468	tf_bound	-	37	587
SYNTH:1:1:469:469	nucleosome	-	60	610
SYNTH:1:1:470:470	accessible	-	62	612
SYNTH:1:1:471:471	tf_bound	+	24	574
SYNTH:1:1:472:472	unclassified	-	55	605
SYNTH:1:1:473:473	accessible	-	27	577
SYNTH:1:1:474:474	accessible	+	45	595
SYNTH:1:1:475:475	accessible	-	0	550
SYNTH:1:1:476:476	tf_bound	+	66	616
SYNTH:1:1:477:477	nucleosome	-	2	552
SYNTH:1:1:478:478	tf_bound	-	20	570
SYNTH:1:1:479:479	nucleosome	+	41	591
SYNTH:1:1:480:480	tf_bound	-	61	611
SYNTH:1:1:481:481	tf_bound	+	44	594
SYNTH:1:1:482:482	accessible	+	24	574
SYNTH:1:1:483:483	nucleosome	+	44	594
SYNTH:1:1:484:484	tf_bound	+	43	593
SYNTH:1:1:485:485	accessible	+	70	620
SYNTH:1:1:486:486	accessible	-	3	553
SYNTH:1:1:487:487	accessible	-	17	567
SYNTH:1:1:488:488	nucleosome	+	47	597
SYNTH:1:1:489:489	tf_bound	+	50	600
SYNTH:1:1:490:490	nucleosome	+	31	581
SYNTH:1:1:491:491	nucleosome	+	52	602
SYNTH:1:1:492:492	accessible	+	61	611
SYNTH:1:1:493:493	accessible	+	19	569
SYNTH:1:1:494:494	accessible	-	6	556
SYNTH:1:1:495:495	nucleosome	-	58	608
SYNTH:1:1:496:496	accessible	+	65	615
SYNTH:1:1:497:497	tf_bound	+	63	613
SYNTH:1:1:498:498	accessible	-	64	614
SYNTH:1:1:499:499	nucleosome	-	58	608
SYNTH:1:1:500:500	tf_bound	+	70	620
