read_id	strand	insert_start	insert_end	n_meth_gpc	n_unmeth_gpc
NUC:1:1:89:89	+	75	625	47	56
NUC:1:1:90:90	-	75	625	47	57
NUC:1:1:91:91	+	75	625	45	56
NUC:1:1:92:92	+	75	625	46	57
NUC:1:1:93:93	-	75	625	48	56
NUC:1:1:94:94	-	75	625	46	57
NUC:1:1:95:95	+	75	625	47	54
NUC:1:1:96:96	-	75	625	47	57
NUC:1:1:97:97	-	75	625	46	54
NUC:1:1:98:98	+	75	625	46	52
NUC:1:1:99:99	-	75	625	46	57
NUC:1:1:100:100	+	75	625	47	53
NUC:1:1:101:101	-	75	625	47	56
NUC:1:1:102:102	-	75	625	47	56
NUC:1:1:103:103	+	75	625	44	53
NUC:1:1:104:104	+	75	625	47	57
NUC:1:1:105:105	-	75	625	46	55
NUC:1:1:106:106	-	75	625	47	53
NUC:1:1:107:107	+	75	625	47	54
NUC:1:1:108:108	-	75	625	48	56
NUC:1:1:109:109	+	75	625	48	55
NUC:1:1:110:110	+	75	625	48	55
NUC:1:1:111:111	-	75	625	46	58
NUC:1:1:112:112	-	75	625	47	54
NUC:1:1:113:113	-	75	625	48	53
NUC:1:1:114:114	+	75	625	48	55
NUC:1:1:115:115	+	75	625	48	53
NUC:1:1:116:116	+	75	625	49	54
NUC:1:1:117:117	+	75	625	46	54
NUC:1:1:118:118	+	75	625	49	53
NUC:1:1:119:119	+	75	625	47	55
NUC:1:1:120:120	+	75	625	47	58
NUC:1:1:121:121	-	75	625	47	56
NUC:1:1:122:122	+	75	625	44	55
NUC:1:1:123:123	+	75	625	46	57
NUC:1:1:124:124	-	75	625	46	55
NUC:1:1:125:125	-	75	625	45	57
NUC:1:1:126:126	+	75	625	47	55
NUC:1:1:127:127	+	75	625	45	55
NUC:1:1:128:128	+	75	625	48	54
NUC:1:1:129:129	-	75	625	45	57
NUC:1:1:130:130	+	75	625	46	56
NUC:1:1:131:131	+	75	625	44	56
NUC:1:1:132:132	-	75	625	46	56
NUC:1:1:133:133	-	75	625	46	57
NUC:1:1:134:134	+	75	625	46	57
NUC:1:1:135:135	-	75	625	46	56
NUC:1:1:136:136	+	75	625	49	56
NUC:1:1:137:137	+	75	625	47	55
NUC:1:1:138:138	+	75	625	49	56
NUC:1:1:139:139	+	75	625	45	57
NUC:1:1:140:140	-	75	625	48	56
NUC:1:1:141:141	-	75	625	45	56
NUC:1:1:142:142	+	75	625	45	56
NUC:1:1:143:143	+	75	625	48	56
NUC:1:1:144:144	+	75	625	48	55
NUC:1:1:145:145	-	75	625	44	52
NUC:1:1:146:146	-	75	625	46	52
NUC:1:1:147:147	-	75	625	45	56
NUC:1:1:148:148	-	75	625	48	57
NUC:1:1:149:149	+	75	625	47	54
NUC:1:1:150:150	+	75	625	49	53
NUC:1:1:151:151	-	75	625	49	56
NUC:1:1:152:152	+	75	625	48	58
NUC:1:1:153:153	-	75	625	47	56
NUC:1:1:154:154	+	75	625	46	56
NUC:1:1:155:155	-	75	625	48	56
NUC:1:1:156:156	+	75	625	46	57
NUC:1:1:157:157	+	75	625	48	56
NUC:1:1:158:158	-	75	625	48	57
NUC:1:1:159:159	-	75	625	48	57
NUC:1:1:160:160	-	75	625	47	55
NUC:1:1:161:161	-	75	625	46	53
NUC:1:1:162:162	-	75	625	47	56
NUC:1:1:163:163	+	75	625	45	54
NUC:1:1:164:164	+	75	625	49	55
NUC:1:1:165:165	-	75	625	47	54
NUC:1:1:166:166	-	75	625	47	58
NUC:1:1:167:167	+	75	625	44	54
NUC:1:1:168:168	-	75	625	45	55
NUC:1:1:169:169	+	75	625	47	55
NUC:1:1:170:170	+	75	625	46	57
NUC:1:1:171:171	-	75	625	47	57
NUC:1:1:172:172	+	75	625	45	57
NUC:1:1:173:173	+	75	625	48	55
NUC:1:1:174:174	+	75	625	45	54
NUC:1:1:175:175	+	75	625	48	57
NUC:1:1:176:176	-	75	625	46	57
NUC:1:1:177:177	+	75	625	43	56
NUC:1:1:178:178	-	75	625	45	53
NUC:1:1:179:179	+	75	625	47	57
NUC:1:1:180:180	+	75	625	46	57
NUC:1:1:181:181	+	75	625	44	57
NUC:1:1:182:182	+	75	625	44	58
NUC:1:1:183:183	-	75	625	45	53
NUC:1:1:184:184	-	75	625	46	58
NUC:1:1:185:185	+	75	625	48	58
NUC:1:1:186:186	+	75	625	46	54
NUC:1:1:187:187	-	75	625	47	56
NUC:1:1:188:188	+	75	625	44	55
NUC:1:1:189:189	-	75	625	49	55
NUC:1:1:190:190	+	75	625	47	54
NUC:1:1:191:191	-	75	625	48	52
NUC:1:1:192:192	+	75	625	46	56
NUC:1:1:193:193	+	75	625	48	56
NUC:1:1:194:194	-	75	625	49	57
NUC:1:1:195:195	+	75	625	48	57
NUC:1:1:196:196	+	75	625	46	57
NUC:1:1:197:197	+	75	625	47	53
NUC:1:1:198:198	-	75	625	49	56
NUC:1:1:199:199	+	75	625	48	53
NUC:1:1:200:200	-	75	625	48	55
NUC:1:1:201:201	+	75	625	46	56
NUC:1:1:202:202	+	75	625	47	55
NUC:1:1:203:203	+	75	625	49	55
NUC:1:1:204:204	+	75	625	46	53
NUC:1:1:205:205	+	75	625	48	55
NUC:1:1:206:206	-	75	625	49	53
NUC:1:1:207:207	-	75	625	46	55
NUC:1:1:208:208	-	75	625	48	55
NUC:1:1:209:209	-	75	625	46	51
NUC:1:1:210:210	+	75	625	46	57
NUC:1:1:211:211	-	75	625	48	58
NUC:1:1:212:212	+	75	625	47	54
NUC:1:1:213:213	+	75	625	45	56
NUC:1:1:214:214	+	75	625	47	57
NUC:1:1:215:215	+	75	625	45	58
NUC:1:1:216:216	-	75	625	49	53
NUC:1:1:217:217	+	75	625	48	53
NUC:1:1:218:218	+	75	625	46	54
NUC:1:1:219:219	+	75	625	48	57
NUC:1:1:220:220	-	75	625	46	57
NUC:1:1:221:221	+	75	625	46	55
NUC:1:1:222:222	-	75	625	46	54
NUC:1:1:223:223	+	75	625	48	57
NUC:1:1:224:224	+	75	625	48	56
NUC:1:1:225:225	+	75	625	48	57
NUC:1:1:226:226	+	75	625	47	53
NUC:1:1:227:227	+	75	625	45	57
NUC:1:1:228:228	+	75	625	48	55
NUC:1:1:229:229	+	75	625	47	56
NUC:1:1:230:230	-	75	625	49	55
NUC:1:1:231:231	+	75	625	47	57
NUC:1:1:232:232	+	75	625	47	56
NUC:1:1:233:233	+	75	625	48	53
NUC:1:1:234:234	-	75	625	47	54
NUC:1:1:235:235	+	75	625	44	57
NUC:1:1:236:236	+	75	625	44	55
NUC:1:1:237:237	-	75	625	45	55
NUC:1:1:238:238	-	75	625	46	57
NUC:1:1:239:239	-	75	625	46	55
NUC:1:1:240:240	+	75	625	47	55
NUC:1:1:241:241	+	75	625	46	55
NUC:1:1:242:242	-	75	625	47	56
NUC:1:1:243:243	-	75	625	47	54
NUC:1:1:244:244	+	75	625	47	58
NUC:1:1:245:245	+	75	625	46	56
NUC:1:1:246:246	+	75	625	47	56
NUC:1:1:247:247	-	75	625	44	52
NUC:1:1:248:248	+	75	625	47	53
NUC:1:1:249:249	-	75	625	47	57
NUC:1:1:250:250	-	75	625	47	55
NUC:1:1:251:251	+	75	625	47	52
NUC:1:1:252:252	-	75	625	46	56
NUC:1:1:253:253	-	75	625	45	54
NUC:1:1:254:254	-	75	625	48	53
NUC:1:1:255:255	+	75	625	47	54
NUC:1:1:256:256	+	75	625	45	57
NUC:1:1:257:257	-	75	625	48	53
NUC:1:1:258:258	-	75	625	47	53
NUC:1:1:259:259	-	75	625	47	56
NUC:1:1:260:260	+	75	625	44	55
NUC:1:1:261:261	-	75	625	46	53
NUC:1:1:262:262	-	75	625	46	57
NUC:1:1:263:263	+	75	625	48	53
NUC:1:1:264:264	-	75	625	45	53
NUC:1:1:265:265	-	75	625	46	57
NUC:1:1:266:266	+	75	625	46	56
NUC:1:1:267:267	+	75	625	47	57
NUC:1:1:268:268	-	75	625	48	55
NUC:1:1:269:269	-	75	625	48	52
NUC:1:1:270:270	+	75	625	46	52
NUC:1:1:271:271	+	75	625	47	53
NUC:1:1:272:272	-	75	625	48	52
NUC:1:1:273:273	-	75	625	45	58
NUC:1:1:274:274	+	75	625	46	53
NUC:1:1:275:275	-	75	625	46	56
NUC:1:1:276:276	-	75	625	48	55
NUC:1:1:277:277	+	75	625	49	56
NUC:1:1:278:278	+	75	625	48	56
NUC:1:1:279:279	+	75	625	46	56
NUC:1:1:280:280	+	75	625	46	57
NUC:1:1:281:281	+	75	625	46	54
NUC:1:1:282:282	-	75	625	48	52
NUC:1:1:283:283	-	75	625	49	51
NUC:1:1:284:284	+	75	625	45	56
NUC:1:1:285:285	+	75	625	46	55
NUC:1:1:286:286	+	75	625	48	54
NUC:1:1:287:287	-	75	625	45	55
NUC:1:1:288:288	-	75	625	47	54
NUC:1:1:289:289	-	75	625	48	54
NUC:1:1:290:290	-	75	625	46	58
NUC:1:1:291:291	-	75	625	45	55
NUC:1:1:292:292	-	75	625	46	57
NUC:1:1:293:293	+	75	625	48	56
NUC:1:1:294:294	-	75	625	46	53
NUC:1:1:295:295	-	75	625	49	58
NUC:1:1:296:296	+	75	625	47	57
NUC:1:1:297:297	-	75	625	45	53
NUC:1:1:298:298	-	75	625	45	55
NUC:1:1:299:299	+	75	625	49	54
NUC:1:1:300:300	-	75	625	49	57
NUC:1:1:301:301	+	75	625	46	55
NUC:1:1:302:302	-	75	625	45	54
NUC:1:1:303:303	-	75	625	47	57
NUC:1:1:304:304	+	75	625	44	56
NUC:1:1:305:305	-	75	625	47	55
NUC:1:1:306:306	+	75	625	44	56
NUC:1:1:307:307	-	75	625	47	53
NUC:1:1:308:308	-	75	625	45	55
NUC:1:1:309:309	+	75	625	46	53
NUC:1:1:310:310	+	75	625	47	54
NUC:1:1:311:311	-	75	625	48	56
NUC:1:1:312:312	-	75	625	46	55
NUC:1:1:313:313	+	75	625	47	56
NUC:1:1:314:314	-	75	625	47	53
NUC:1:1:315:315	-	75	625	46	49
NUC:1:1:316:316	-	75	625	46	55
NUC:1:1:317:317	+	75	625	44	55
NUC:1:1:318:318	+	75	625	45	56
NUC:1:1:319:319	-	75	625	47	55
NUC:1:1:320:320	-	75	625	46	54
NUC:1:1:321:321	-	75	625	47	55
NUC:1:1:322:322	-	75	625	46	55
NUC:1:1:323:323	-	75	625	49	53
NUC:1:1:324:324	-	75	625	48	54
NUC:1:1:325:325	-	75	625	46	55
NUC:1:1:326:326	-	75	625	46	52
NUC:1:1:327:327	-	75	625	47	55
NUC:1:1:328:328	-	75	625	47	53
NUC:1:1:329:329	+	75	625	45	55
NUC:1:1:330:330	-	75	625	45	52
NUC:1:1:331:331	-	75	625	46	56
NUC:1:1:332:332	-	75	625	46	56
NUC:1:1:333:333	-	75	625	47	55
NUC:1:1:334:334	-	75	625	45	57
NUC:1:1:335:335	-	75	625	48	54
NUC:1:1:336:336	+	75	625	48	56
NUC:1:1:337:337	-	75	625	49	54
NUC:1:1:338:338	-	75	625	48	57
NUC:1:1:339:339	+	75	625	48	56
NUC:1:1:340:340	-	75	625	48	56
NUC:1:1:341:341	-	75	625	47	54
NUC:1:1:342:342	+	75	625	44	58
NUC:1:1:343:343	+	75	625	43	57
NUC:1:1:344:344	+	75	625	46	56
NUC:1:1:345:345	-	75	625	47	56
NUC:1:1:346:346	+	75	625	46	56
NUC:1:1:347:347	-	75	625	47	56
NUC:1:1:348:348	-	75	625	49	54
NUC:1:1:349:349	+	75	625	48	55
NUC:1:1:350:350	-	75	625	46	53
NUC:1:1:351:351	+	75	625	49	56
NUC:1:1:352:352	+	75	625	46	57
NUC:1:1:353:353	-	75	625	46	56
NUC:1:1:354:354	+	75	625	47	58
NUC:1:1:355:355	+	75	625	48	56
NUC:1:1:356:356	-	75	625	47	55
NUC:1:1:357:357	-	75	625	45	58
NUC:1:1:358:358	-	75	625	47	56
NUC:1:1:359:359	+	75	625	46	56
NUC:1:1:360:360	-	75	625	47	58
NUC:1:1:361:361	-	75	625	47	55
NUC:1:1:362:362	-	75	625	47	57
NUC:1:1:363:363	+	75	625	47	55
NUC:1:1:364:364	-	75	625	45	57
NUC:1:1:365:365	+	75	625	48	56
NUC:1:1:366:366	+	75	625	45	57
NUC:1:1:367:367	+	75	625	47	56
NUC:1:1:368:368	-	75	625	49	56
NUC:1:1:369:369	-	75	625	45	54
NUC:1:1:370:370	-	75	625	46	55
NUC:1:1:371:371	+	75	625	46	56
NUC:1:1:372:372	-	75	625	48	56
NUC:1:1:373:373	+	75	625	49	56
NUC:1:1:374:374	+	75	625	47	56
NUC:1:1:375:375	+	75	625	43	57
NUC:1:1:376:376	+	75	625	46	51
NUC:1:1:377:377	-	75	625	43	54
NUC:1:1:378:378	+	75	625	45	56
NUC:1:1:379:379	-	75	625	45	57
NUC:1:1:380:380	-	75	625	45	55
NUC:1:1:381:381	+	75	625	48	53
NUC:1:1:382:382	-	75	625	46	57
NUC:1:1:383:383	-	75	625	47	54
NUC:1:1:384:384	-	75	625	48	58
NUC:1:1:385:385	-	75	625	48	54
NUC:1:1:386:386	+	75	625	48	52
NUC:1:1:387:387	-	75	625	46	57
NUC:1:1:388:388	+	75	625	47	49
NUC:1:1:389:389	-	75	625	44	53
NUC:1:1:390:390	-	75	625	43	55
NUC:1:1:391:391	-	75	625	46	55
NUC:1:1:392:392	+	75	625	46	55
NUC:1:1:393:393	+	75	625	47	55
NUC:1:1:394:394	+	75	625	48	52
NUC:1:1:395:395	-	75	625	46	56
NUC:1:1:396:396	-	75	625	47	56
NUC:1:1:397:397	-	75	625	47	54
NUC:1:1:398:398	+	75	625	47	54
NUC:1:1:399:399	+	75	625	46	56
NUC:1:1:400:400	+	75	625	46	56
NUC:1:1:401:401	+	75	625	47	56
NUC:1:1:402:402	+	75	625	46	54
NUC:1:1:403:403	-	75	625	44	54
NUC:1:1:404:404	+	75	625	44	56
NUC:1:1:405:405	+	75	625	46	52
NUC:1:1:406:406	-	75	625	45	55
NUC:1:1:407:407	-	75	625	48	52
NUC:1:1:408:408	+	75	625	47	53
NUC:1:1:409:409	-	75	625	47	57
NUC:1:1:410:410	+	75	625	46	58
NUC:1:1:411:411	-	75	625	46	56
NUC:1:1:412:412	-	75	625	46	56
NUC:1:1:413:413	-	75	625	47	53
NUC:1:1:414:414	-	75	625	48	58
NUC:1:1:415:415	-	75	625	45	56
NUC:1:1:416:416	+	75	625	46	56
NUC:1:1:417:417	+	75	625	47	55
NUC:1:1:418:418	-	75	625	45	55
NUC:1:1:419:419	+	75	625	49	56
NUC:1:1:420:420	+	75	625	46	55
NUC:1:1:421:421	+	75	625	45	57
NUC:1:1:422:422	-	75	625	48	53
NUC:1:1:423:423	-	75	625	45	57
NUC:1:1:424:424	-	75	625	46	55
NUC:1:1:425:425	-	75	625	46	56
NUC:1:1:426:426	+	75	625	48	55
NUC:1:1:427:427	-	75	625	45	56
NUC:1:1:428:428	-	75	625	48	56
NUC:1:1:429:429	-	75	625	48	53
NUC:1:1:430:430	+	75	625	46	56
NUC:1:1:431:431	-	75	625	46	55
NUC:1:1:432:432	+	75	625	45	54
NUC:1:1:433:433	+	75	625	48	56
NUC:1:1:434:434	+	75	625	47	57
NUC:1:1:435:435	-	75	625	49	55
NUC:1:1:436:436	-	75	625	47	56
NUC:1:1:437:437	+	75	625	44	56
NUC:1:1:438:438	-	75	625	46	55
NUC:1:1:439:439	+	75	625	47	55
NUC:1:1:440:440	-	75	625	45	52
NUC:1:1:441:441	-	75	625	45	55
NUC:1:1:442:442	-	75	625	48	57
NUC:1:1:443:443	-	75	625	45	58
NUC:1:1:444:444	+	75	625	47	57
NUC:1:1:445:445	-	75	625	46	55
NUC:1:1:446:446	+	75	625	46	54
NUC:1:1:447:447	-	75	625	47	56
NUC:1:1:448:448	-	75	625	47	57
NUC:1:1:449:449	-	75	625	47	56
NUC:1:1:450:450	+	75	625	46	56
NUC:1:1:451:451	-	75	625	46	55
NUC:1:1:452:452	-	75	625	47	56
NUC:1:1:453:453	+	75	625	45	55
NUC:1:1:454:454	-	75	625	43	58
NUC:1:1:455:455	-	75	625	47	57
NUC:1:1:456:456	-	75	625	46	56
NUC:1:1:457:457	+	75	625	49	56
NUC:1:1:458:458	+	75	625	47	55
NUC:1:1:459:459	+	75	625	49	56
NUC:1:1:460:460	-	75	625	49	55
NUC:1:1:461:461	-	75	625	49	57
NUC:1:1:462:462	+	75	625	49	54
NUC:1:1:463:463	-	75	625	47	55
NUC:1:1:464:464	-	75	625	42	57
NUC:1:1:465:465	+	75	625	47	56
NUC:1:1:466:466	+	75	625	47	55
NUC:1:1:467:467	-	75	625	46	54
NUC:1:1:468:468	+	75	625	46	56
NUC:1:1:469:469	+	75	625	48	56
NUC:1:1:470:470	-	75	625	46	56
NUC:1:1:471:471	-	75	625	48	57
NUC:1:1:472:472	+	75	625	49	57
NUC:1:1:473:473	-	75	625	46	55
NUC:1:1:474:474	+	75	625	49	55
NUC:1:1:475:475	+	75	625	48	54
NUC:1:1:476:476	-	75	625	46	57
NUC:1:1:477:477	+	75	625	47	55
NUC:1:1:478:478	-	75	625	46	56
NUC:1:1:479:479	+	75	625	44	55
NUC:1:1:480:480	-	75	625	47	56
NUC:1:1:481:481	+	75	625	46	53
NUC:1:1:482:482	-	75	625	47	58
NUC:1:1:483:483	-	75	625	44	56
NUC:1:1:484:484	-	75	625	46	55
NUC:1:1:485:485	-	75	625	48	57
NUC:1:1:486:486	-	75	625	43	54
NUC:1:1:487:487	+	75	625	44	56
NUC:1:1:488:488	+	75	625	47	55
NUC:1:1:489:489	+	75	625	48	55
NUC:1:1:490:490	-	75	625	46	54
NUC:1:1:491:491	-	75	625	46	54
NUC:1:1:492:492	+	75	625	46	55
NUC:1:1:493:493	+	75	625	47	54
NUC:1:1:494:494	-	75	625	44	54
NUC:1:1:495:495	-	75	625	47	53
NUC:1:1:496:496	-	75	625	47	56
NUC:1:1:497:497	+	75	625	48	54
NUC:1:1:498:498	-	75	625	44	55
NUC:1:1:499:499	-	75	625	49	56
NUC:1:1:500:500	-	75	625	49	56
